"Accession.name","BioSample","SRA","ID","Source","Continent","CIAT.code","DOI","Synonyms","Common.names","Organism","Genus","Species","Collection.status","Biological.status","CORE.collection","Country","Department","County","Place","Date.of.collection..dd.mm.yyyy.","Altitude..masl.","Latitude..decimal.","Longitude..decimal.","Donor.name","Institution","Donor.country","Collector.name","Date.of.receipt..dd.mm.yyyy.","Growth.habit","Plant.height..cm.","Flowering","Shape.of.leaf.lobe.central","Petiole.color","Developed.leaf.color","Number.of.leaf.lobes","Root.color","Dry.matter.content....","Total.HCN.content..ppm.","Total.sugars....","Total.amylose....","Clarity....","Temperature.pasting...C.","Maximum.viscosity","Breakdown..cP.","Easy.cooking..minutes."
"COL1413","SAMN47007462","SRR32633301","COL1413","This study","South America","COL 1413","10.18730/PDV1Z","COL 1413, SAN-477","Cacota","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Santander Del Sur","Piedecuesta","Barro Blanco","20-03-1970",1000,6.9,-73.05,"","","","Pablo Emilio Daza","20-03-1970","Bush",145,"Present","Lanceolate","","","","White",39.21,60,3.09,21.13,50.3,66.05,855,279,3.42
"COL1477","SAMN47007469","SRR32633299","COL1477","This study","South America","COL 1477","10.18730/PC5JP","CMC 48","Morada","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caldas","Chinchina","","01-08-1967",NA,4.9167,-75.55,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Francisco Garcia","03-04-1970","",265,"Absent","Lanceolate","","","","White",28.93,283,4.25,21.43,51.8,65.3,541,236,2.09
"COL1480","SAMN47007471","SRR32633298","COL1480","This study","South America","COL 1480","10.18730/PAKKE","CMC 51","Amarilla","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caldas","Chinchina","","01-08-1967",NA,4.9167,-75.55,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Francisco Garcia","03-04-1970","",190,"Present","Lanceolate","","","","Yellow",32.77,285,2.54,18.25,56.4,64.45,714,306,2.18
"COL1487","SAMN47007474","SRR32633214","COL1487","This study","South America","COL 1487","10.18730/PBDBR","CMC 58","Parroquiana Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caldas","Chinchina","","01-08-1967",NA,4.9167,-75.55,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Francisco Garcia","08-04-1970","",180,"Present","Lanceolate","","","","Cream",31.45,186,3.49,22.15,39.1,66.25,839,390,2.09
"COL1493","SAMN47007476","SRR32633213","COL1493","This study","South America","COL 1493","10.18730/PCZ2R","CMC 64","Blanca No. 1","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Caldas","Chinchina","","01-08-1967",NA,4.9167,-75.55,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Francisco Garcia","08-04-1970","",205,"Absent","Lanceolate","","","","White",31.53,182,2.74,20.84,37.6,65.75,828,302,3
"COL1535","SAMN47007485","SRR32633212","COL1535","This study","South America","COL 1535","10.18730/P8XPW","CMC 107","","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Cundinamarca","Melgar","Via Fusagasuga Kms: 1","15-06-1968",NA,4.2,-74.65,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Luis Lopez","10-04-1970","",165,"Present","Lanceolate","","","","White",37.53,52,3.7,20.04,53.2,65.9,907,408,2.44
"COL1538","SAMN47007487","SRR32633211","COL1538","This study","South America","COL 1538","10.18730/PCYYM","CMC 110","Amarilla","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Quindio","Calarca","Vereda La Bella","16-06-1968",1610,4.5167,-75.6333,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Luis Lopez","10-04-1970","",155,"Absent","Lanceolate","","","","Cream",32.04,70,3.26,19.64,49.6,64.9,989,378,3.16
"COL1542","SAMN47007489","SRR32633210","COL1542","This study","South America","COL 1542","10.18730/P9R4Q","CMC 114","Algodonera","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","Caicedonia","La Pollera","16-06-1968",1400,4.2833,-75.75,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Luis Lopez","10-04-1970","",90,"Present","Lanceolate","","","","White",34.29,95,1.4,20.2,50.6,65.05,673,257,2.22
"COL1570","SAMN47007490","SRR32633209","COL1570","This study","South America","COL 1570","10.18730/P9QZJ","COL 1570, NOS-322","Cogollimorada","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Norte De Santander","Cachira","La Muticia","08-04-1970",520,7.7,-73.05,"","","","Pablo Emilio Daza","08-04-1970","",235,"Absent","Elliptic-Lanceolate","","","","White",25.4,61,6.76,19.75,47,67.95,529,82,3.88
"COL1604","SAMN47007493","SRR32633208","COL1604","This study","South America","COL 1604","10.18730/PAK83","CEA0308, COL 1604","Tempranera","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cesar","Gamarra","La Espeza","09-04-1970",150,8.2833,-73.6833,"","","","Pablo Emilio Daza","09-04-1970","",NA,"","","","","","",30.41,220,3.83,20.77,34.8,63.6,783,338,2.71
"COL162","SAMN47007495","SRR32633205","COL162","This study","South America","COL 162","10.18730/P8ZVQ","COL 162, NOS-302","Zamura","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Norte De Santander","Pamplonita","Pedregal","21-06-1969",1200,7.4,-72.6,"","","","Victor Manuel Patino","21-06-1969","Bush",310,"Present","Lanceolate","","","","White",19.44,202,9.4,22.74,42.4,61.55,602,225,2.15
"COL1628","SAMN47007496","SRR32633207","COL1628","This study","South America","COL 1628","10.18730/P8XJR","CES-332, COL 1628","Mona Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cesar","Valledupar","La Iberia","13-04-1970",90,10.4167,-73.2333,"","","","Pablo Emilio Daza","13-04-1970","",165,"Present","Lanceolate","","","","White",43.28,220,1.72,20.33,58.4,68.45,567,244,1.79
"COL1636","SAMN47007498","SRR32633204","COL1636","This study","South America","COL 1636","10.18730/PCYRE","COL 1636, PUT-304","Vaupe#A Morada","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Putumayo","Mocoa","","15-04-1970",700,1.15,-76.6,"","","","Victor Manuel Patino","15-04-1970","",210,"Present","Lanceolate","","","","Cream",41.03,65,1.69,23.39,69.1,67.35,788,294,3.1
"COL1667","SAMN47007502","SRR32633203","COL1667","This study","South America","COL 1667","10.18730/PBQYY","CMC 146","Barejona","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Caqueta","Florencia","","20-01-1969",NA,1.5667,-75.5667,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Luis Lopez","10-04-1970","",285,"Present","Elliptic-Lanceolate","","","","White",36.96,126,1.1,19.9,44.5,69.95,827,331,2.02
"COL1671","SAMN47007503","SRR32633202","COL1671","This study","South America","COL 1671","10.18730/PDTKH","CMC 150","Peruana Barejona, Peruana Bejucona","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caqueta","Morelia","Hacienda Samaria","22-01-1969",NA,1.5167,-75.6833,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Luis Lopez","10-04-1970","",NA,"","","","","","",36.03,111,1.4,19.18,47.5,63.7,655,227,3.13
"COL176","SAMN47007516","SRR32633201","COL176","This study","South America","COL 176","10.18730/P7KD7","COL 176, SAN-310","Chulquita","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Santander Del Sur","Rionegro","La Mutisia","17-06-1969",720,7.2333,-73.1167,"","","","Victor Manuel Patino","17-06-1969","Bush",NA,"","Straight or Linear","Green-Yellow","Dark Green","Seven Lobes","",30.18,31,4.2,23.18,37.8,62.2,700,173,4.27
"COL1774","SAMN47007518","SRR32633200","COL1774","This study","South America","COL 1774","10.18730/PBR4U","CAQ-309, COL 1774","Punta De Lanza","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caqueta","Belen De Los Andaquies","","23-06-1970",250,1.4,-75.8333,"","","","Victor Manuel Patino","23-06-1970","Bush",270,"Absent","Linear-Pandurate","","","","White",30.1,141,1.81,20.64,40.5,63.3,786,252,3.55
"COL1784","SAMN47007519","SRR32633199","COL1784","This study","South America","COL 1784","10.18730/P844R","CAQ-319, COL 1784","","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caqueta","El Doncello","","25-06-1970",250,1.6333,-75.25,"","","","Victor Manuel Patino","25-05-1970","Bush",265,"Present","Lanceolate","","","","White",26.86,51,4.01,18.83,61.6,67.95,614,217,2.67
"COL1812","SAMN47007525","SRR32633198","COL1812","This study","South America","COL 1812","10.18730/PAJSS","COL 1812, MAG-322","Jime","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Magdalena","Plato","Betulia","07-09-1970",180,9.7167,-74.7167,"","","","Pablo Emilio Daza","07-09-1970","Bush",140,"Absent","Lanceolate","","","","White",39.51,115,2.75,22.35,46.5,66.05,782,233,3.13
"COL2047","SAMN47007541","SRR32633197","COL2047","This study","South America","COL 2047","10.18730/PAYV4","CAS-24, COL 2047","Amarilla Arbolona","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Casanare","Yopal","Jose Celis","20-04-1979",NA,5.3167,-72.35,"","","","Octavio Vargas, Pedro Millan, Rafael Laberry","20-04-1979","",215,"Present","Lanceolate","","","","White",32.94,159,3.4,18.67,56,63.1,751,272,2.77
