"Accession.name","BioSample","SRA","ID","Source","Continent","CIAT.code","DOI","Synonyms","Common.names","Organism","Genus","Species","Collection.status","Biological.status","CORE.collection","Country","Department","County","Place","Date.of.collection..dd.mm.yyyy.","Altitude..masl.","Latitude..decimal.","Longitude..decimal.","Donor.name","Institution","Donor.country","Collector.name","Date.of.receipt..dd.mm.yyyy.","Growth.habit","Plant.height..cm.","Flowering","Shape.of.leaf.lobe.central","Petiole.color","Developed.leaf.color","Number.of.leaf.lobes","Root.color","Dry.matter.content....","Total.HCN.content..ppm.","Total.sugars....","Total.amylose....","Clarity....","Temperature.pasting...C.","Maximum.viscosity","Breakdown..cP.","Easy.cooking..minutes."
"COL601","SAMN47007661","SRR32633218","COL601","This study","South America","COL 601","10.18730/PDW8~","CAL-338, COL 601","","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Caldas","Arma","Jose Agudelo","18-10-1969",680,5.5667,-75.0167,"","","","Victor Manuel Patino","18-10-1969","Bush",170,"Absent","Lanceolate","","","","Cream",36.94,153,5.43,19.17,44.5,67.9,603,201,3.16
"COL618","SAMN47007664","SRR32633217","COL618","This study","South America","COL 618","10.18730/PD10C","COL 618, RIS-318","Sietemesina","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Risaralda","Pueblo Rico","Abel N. Obando","15-10-1969",1300,5.1667,-76.0833,"","","","Victor Manuel Patino","15-10-1969","Bush",210,"Absent","Lanceolate","","","","Cream",24.11,265,3.38,22.52,37.6,64.85,631,205,2.87
"COL705","SAMN47007674","SRR32633216","COL705","This study","South America","COL 705","10.18730/PBEDN","COL 705, MET-372","Guajiba","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Meta","Cumaral","Guacavia","22-10-1969",620,4.2333,-73.45,"","","","Pablo Emilio Daza","22-10-1969","Bush",175,"Present","Lanceolate","","","","White",31.26,47,2,20.79,37.8,65.45,783,195,3.65
"COL710A","SAMN47007675","SRR32689829","COL710A_1","This study","South America","COL 710A","10.18730/PAMZN","COL 710A, MET-377","Algodona","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Meta","Restrepo","Pie De Cuesta","22-10-1969",640,3.8167,-76.5667,"","","","Pablo Emilio Daza","22-10-1969","Bush",165,"Present","Lanceolate","","","","White",34.55,245,3.17,20.27,51.9,63.95,675,317,2.02
"COL723","SAMN47007677","SRR32633550","COL723","This study","South America","COL 723","10.18730/PDW0S","COL 723, VAL-413","Llanera","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","Alcala","La Guajira","24-10-1969",1220,4.6167,-75.7167,"","","","Alberto Angel, Victor Manuel Patino","24-10-1969","Bush",NA,"","","","","","",29.45,307,3.18,21.64,47.2,65.25,631,280,1.99
"COL758","SAMN47007681","SRR32633549","COL758","This study","South America","COL 758","10.18730/PD0EZ","ANT-321, COL 758","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Urrao","Leonel Sepulveda","14-11-1969",1900,6.2833,-76.1167,"","","","Victor Manuel Patino","14-11-1969","Bush",210,"Absent","Lanceolate","","","","White",34.03,223,3.08,18.58,39.3,67.35,684,216,2.97
"COL766","SAMN47007683","SRR32633548","COL766","This study","South America","COL 766","10.18730/P8YXY","ANT-329, COL 766","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Retiro","Casco Urbano","05-11-1969",1250,6.05,-75.45,"","","","Pablo Emilio Daza","05-11-1969","Bush",215,"Present","Lanceolate","","","","Cream",31.21,61,4.12,20.99,55.6,65.1,612,301,1.63
"COL76A","SAMN47007684","SRR32689858","COL76A_1","This study","South America","COL 76A","10.18730/P86P*","COL 76A, SUC-314","Mona Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Sucre","San Pedro","Soledad","19-05-1969",150,9.35,-75.0333,"","","","Victor Manuel Patino","19-05-1969","Bush",130,"Absent","Lanceolate","","","","White",46.44,236,2.35,18.19,57.8,68.2,649,307,1.79
"COL774","SAMN47007685","SRR32633545","COL774","This study","South America","COL 774","10.18730/P8CCX","ANT-337, COL 774","Caramante#A","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Guatape","El Salto(J.Ciro)","06-11-1969",1920,6.2,-75.1167,"","","","Pablo Emilio Daza","06-11-1969","Bush",270,"Absent","Lanceolate","Green With Little Red","Dark Green","Nine Lobes","White",20.48,147,7.44,19.96,29.8,63.55,659,138,3.45
"COL776","SAMN47007686","SRR32633544","COL776","This study","South America","COL 776","10.18730/P8G30","ANT-339, COL 776","Palanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","San Rafael","La Sorpresa","06-11-1969",1110,6.2667,-75.0167,"","","","Pablo Emilio Daza","06-11-1969","Bush",180,"Present","Lanceolate","","","","White",26.33,127,5.94,20.47,31.1,65.85,622,128,3.13
"COL783","SAMN47007687","SRR32633543","COL783","This study","South America","COL 783","10.18730/PC6NM","ANT-346, COL 783","Santa Rosana","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Granada","La Abundancia","07-11-1969",1750,6.1167,-75.1667,"","","","Pablo Emilio Daza","07-11-1969","Bush",135,"Present","Lanceolate","","","","Cream",35.38,48,1.97,20.11,33,66.1,663,183,3.23
"COL813","SAMN47007692","SRR32633542","COL813","This study","South America","COL 813","10.18730/P9SHZ","CAL-350, COL 813","Racima","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caldas","Victoria","La Piscina","10-11-1969",1000,6.2833,-74.85,"","","","Pablo Emilio Daza","10-11-1969","Bush",240,"Present","Elliptic-Lanceolate","","","","White",18.89,188,9.08,21.2,43.9,65.45,734,249,2.74
"COL818","SAMN47007693","SRR32633541","COL818","This study","South America","COL 818","10.18730/P85GZ","COL 818, CUN-345","Guaduita","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cundinamarca","Guaduas","Santa Teresita","11-11-1969",1200,5.05,-74.3333,"","","","Pablo Emilio Daza","11-11-1969","Bush",255,"Present","Obovate-Lanceolate","","","","White",40.49,122,1.8,19.11,51.1,63.25,1194,547,2.05
"COL82","SAMN47007694","SRR32633539","COL82","This study","South America","COL 82","10.18730/PC7YR","COL 82, VAL-305","Noli","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","El Cerrito","El Porvenir","02-06-1969",1440,3.6333,-76.2667,"","","","Pablo Emilio Daza","02-06-1969","Bush",220,"Absent","Lanceolate","","","","Cream",29.43,282,2.83,22.08,37.9,64.7,792,377,2.54
"COL827","SAMN47007696","SRR32633540","COL827","This study","South America","COL 827","10.18730/PAZMX","COL 827, CUN-354","Pate Guila","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cundinamarca","Utica","Granada(L.Luna)","12-11-1969",870,5.15,-74.4667,"","","","Pablo Emilio Daza","12-11-1969","Bush",135,"Present","Elliptic-Lanceolate","","","","White",33.2,107,3.01,19.82,35.7,65.7,784,221,3.45
"COL841","SAMN47007698","SRR32633538","COL841","This study","South America","COL 841","10.18730/PAMQD","COL 841, CUN-368","Candela","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cundinamarca","Yacopi","La Primavera","12-11-1969",1620,5.4,-74.3,"","","","Pablo Emilio Daza","12-11-1969","Bush",275,"Present","Lanceolate","","","","White",32.54,493,2.18,19.09,58.1,63.15,916,400,2.51
"COL845B","SAMN47007700","SRR32633537","COL845B","This study","South America","COL 845B","10.18730/PAMPC","COL 845B, CUN-372","Pata Guacharaca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cundinamarca","La Pe#A","El Paramo","13-11-1969",1000,5.2,-74.4,"","","","Pablo Emilio Daza","13-11-1969","Bush",165,"Present","Straight or Linear","","","","White",41.61,184,2.42,18.94,44.3,66.45,699,281,2.44
"COL85","SAMN47007701","SRR32633535","COL85","This study","South America","COL 85","10.18730/PD1S0","COL 85, VAL-308","Algodona","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","Guacari","La Vega","03-06-1969",1260,3.7,-76.3,"","","","Pablo Emilio Daza","03-06-1969","Bush",225,"Present","Lanceolate","","","","Yellow",28.58,104,6.26,19.46,53.7,66.75,643,216,2.51
"COL863","SAMN47007705","SRR32633534","COL863","This study","South America","COL 863","10.18730/PA1R=","ANT-378, COL 863","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Sabanalarga","La Sabana","28-11-1969",1300,6.7833,-75.7667,"","","","Pablo Emilio Daza","29-11-1969","Bush",285,"Present","Elliptic-Lanceolate","Green With Little Red","Light Green","Eleven Lobes","White",24.77,138,6.6,22.15,36.4,64.9,831,331,3.68
"COL868","SAMN47007706","SRR32633533","COL868","This study","South America","COL 868","10.18730/P8YPQ","ANT-383, COL 868","Amarilla","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Santa Fe De Antioquia","La Estancia","30-11-1969",630,6.5,-75.7667,"","","","Pablo Emilio Daza","30-11-1969","Bush",125,"Absent","Lanceolate","","","","White",39.28,87,3.81,21.93,26.1,65.7,419,206,1.8
"COL869","SAMN47007707","SRR32633532","COL869","This study","South America","COL 869","10.18730/PD06Q","ANT-384, COL 869","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Buritica","Bella Vista","30-11-1969",2000,6.65,-75.85,"","","","Pablo Emilio Daza","30-11-1969","Bush",160,"Present","Linear-Pandurate","","","","White",16.87,95,14.4,22.66,18,66.3,740,153,3.94
"COL87","SAMN47007708","SRR32633530","COL87","This study","South America","COL 87","10.18730/PC7ZS","COL 87, VAL-310","Calime#A","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Valle Del Cauca","Buga","El Esfuerzo","03-06-1969",1000,3.8333,-76.2667,"","","","Pablo Emilio Daza","03-06-1969","Bush",190,"Absent","Lanceolate","","","","White",30.76,80,1.6,20.35,46.8,59.65,1402,738,2.57
"COL878","SAMN47007710","SRR32633531","COL878","This study","South America","COL 878","10.18730/P9SDV","ANT-393, COL 878","Remediana Negra","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Frontino","Llano Chiquito","01-12-1969",1500,6.7,-76.1,"","","","Pablo Emilio Daza","01-12-1969","Bush",220,"Present","Elliptic-Lanceolate","","","","Cream",30.72,178,3.26,23.03,55.4,65.1,725,360,1.96
"COL88","SAMN47007711","SRR32633528","COL88","This study","South America","COL 88","10.18730/PDATY","COL 88, VAL-311","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","Buga","El Esfuerzo","03-06-1969",1000,3.8333,-76.2667,"","","","Pablo Emilio Daza","03-06-1969","Bush",175,"Absent","Lanceolate","","","","Cream",25.22,587,4.61,21.42,36.4,63.95,814,359,2.15
"COL880","SAMN47007712","SRR32633529","COL880","This study","South America","COL 880","10.18730/P8YNP","ANT-395, COL 880","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Dabeiba","Buena Vista","02-11-1969",500,7,-76.2333,"","","","Pablo Emilio Daza","02-12-1969","Bush",255,"Present","Lanceolate","Green","Dark Green","Five Lobes","White",26.97,451,7.65,23.45,27.2,64.1,613,160,4.2
"COL907","SAMN47007714","SRR32633527","COL907","This study","South America","COL 907","10.18730/PAZKW","ANT-422, COL 907","Cascarona","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Valdivia","Pedro N. Herrera","03-12-1969",100,7.15,-75.4,"","","","Victor Manuel Patino","03-12-1969","Bush",170,"Absent","Lanceolate","","","","White",43.91,96,2.08,19.58,41.1,65.65,693,246,2.35
"COL91A","SAMN47007715","SRR32689806","COL91A_1","This study","South America","COL 91A","10.18730/PBNJW","COL 91A, VAL-314","Sietemesina","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","Buga","La Esperanza","04-06-1969",960,3.8333,-76.2667,"","","","Pablo Emilio Daza","04-06-1969","Bush",185,"Present","Lanceolate","","","","Yellow",38.92,394,2.88,20.1,58.5,67.35,809,337,2.74
"COL91A","SAMN47007715","SRR32689805","COL91A_2","This study","South America","COL 91A","10.18730/PBNJW","COL 91A, VAL-314","Sietemesina","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","Buga","La Esperanza","04-06-1969",960,3.8333,-76.2667,"","","","Pablo Emilio Daza","04-06-1969","Bush",185,"Present","Lanceolate","","","","Yellow",38.92,394,2.88,20.1,58.5,67.35,809,337,2.74
"COL922","SAMN47007716","SRR32633524","COL922","This study","South America","COL 922","10.18730/P9SBS","COL 922, COR-337","Cubita","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Cordoba","Ayapel","Nazareth","30-11-1969",15,8.2833,-75.1167,"","","","Victor Manuel Patino","30-11-1969","Bush",210,"Present","Lanceolate","","","","White",40.07,260,2.99,22.08,43.9,66.9,763,350,2.57
"COL933","SAMN47007718","SRR32633321","COL933","This study","South America","COL 933","10.18730/P8YGH","COL 933, COR-348","Ligerita","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cordoba","Monte Libano","Alfonso Cardenas","30-11-1969",100,7.9,-75.3833,"","","","Victor Manuel Patino","30-11-1969","Bush",145,"Present","Straight or Linear","Green-Yellow","Dark Green","Seven Lobes","White",22.82,437,5,23.39,34.5,67.55,634,152,3.1
"COL938","SAMN47007719","SRR32633320","COL938","This study","South America","COL 938","10.18730/PC6DC","COL 938, COR-353","Cocli","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cordoba","Monteria","Manuel I. Lopez","01-12-1969",30,8.7,-75.8333,"","","","Victor Manuel Patino","01-12-1969","Bush",235,"Absent","Elliptic-Lanceolate","","","","White",37.99,120,1.42,20.27,46.9,67.25,612,220,1.96
"COL948C","SAMN47007721","SRR32633319","COL948C","This study","South America","COL 948C","10.18730/PBE08","COL 948C, COR-363","Algodon","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cordoba","San Pelayo","","02-12-1969",10,8.9667,-75.85,"","","","Victor Manuel Patino","02-12-1969","Bush",145,"Absent","Lanceolate","","","","White",43.72,75,0.36,20.91,67.2,65.45,772,267,2.41
"COL956","SAMN47007722","SRR32633318","COL956","This study","South America","COL 956","10.18730/P7PN0","COL 956, COR-371","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cordoba","Lorica","Rigoberto Lopez","02-12-1969",10,9.2,-75.75,"","","","Victor Manuel Patino","02-12-1969","Bush",NA,"","","","","","",39.99,138,2.31,22.08,51,66.25,843,402,2.22
"COL962","SAMN47007723","SRR32689868","COL962_1","This study","South America","COL 962","10.18730/P8F68","COL 962, COR-377","Sucre#A","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cordoba","Chima","Casco Urbano","03-12-1969",10,9.1167,-75.5667,"","","","Victor Manuel Patino","03-12-1969","Bush",215,"Present","Lanceolate","","","","White",38.71,22,2.48,22.59,49.3,67.15,660,205,2.87
"COL962","SAMN47007723","SRR32689867","COL962_2","This study","South America","COL 962","10.18730/P8F68","COL 962, COR-377","Sucre#A","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cordoba","Chima","Casco Urbano","03-12-1969",10,9.1167,-75.5667,"","","","Victor Manuel Patino","03-12-1969","Bush",215,"Present","Lanceolate","","","","White",38.71,22,2.48,22.59,49.3,67.15,660,205,2.87
"COL966D","SAMN47007724","SRR32633316","COL966D","This study","South America","COL 966D","10.18730/P973~","COL 966D, COR-381","Guarumera","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cordoba","Chinu","Cacaotal","02-12-1969",80,9.1,-75.4,"","","","Victor Manuel Patino","02-12-1969","Bush",155,"Present","Lanceolate","","","","White",36.16,155,3.79,18.48,49.7,67.55,753,250,2.25
"CG1141-1","SAMN47007403","SRR32633373","CG1141-1","This study","South America","CG 1141- 1","10.18730/PBS4Z","CG 1141- 1","Ica-Costena","Manihot esculenta","Manihot","esculenta","","Breeding line",1,"Colombia","Valle Del Cauca","Palmira","Ciat Kms: 17","",915,3.5333,-76.25,"","","","","","",140,"Present","Elliptic-Lanceolate","Red With Little Green","Light Green","Seven Lobes","White",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CM4919-1","SAMN47007404","SRR32633379","CM4919-1","This study","South America","","","","","Manihot esculenta","Manihot","esculenta","","Breeding line",NA,"Colombia","Valle Del Cauca","Palmira","","",NA,NA,NA,"","","","","","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CM523-7","SAMN47007405","SRR32633399","CM523-7_1","This study","South America","CM 523- 7","10.18730/PB0QV","CM 523- 7","Catumare","Manihot esculenta","Manihot","esculenta","","Breeding line",1,"Colombia","Valle Del Cauca","Palmira","Ciat Kms: 17","",915,3.5333,-76.25,"","","","","","",245,"Present","Lanceolate","Red","Dark Green","Seven Lobes","White",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COL1004","SAMN47007406","SRR32689857","COL1004_1","This study","South America","COL 1004","10.18730/PC698","ANT-429, COL 1004","-","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Copa Cabana","Gran.Avic.Camber","13-12-1969",1390,6.15,-75.4667,"","","","Alberto Angel","13-12-1969","Bush",215,"Present","Lanceolate","","","","Cream",28.7,125,2.78,19.46,43.2,65.3,478,268,1.79
"COL1010B","SAMN47007409","SRR32633501","COL1010B","This study","South America","COL 1010B","10.18730/PCEEA","ANT-435, COL 1010B","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Segovia","","15-12-1969",590,7.0667,-74.6333,"","","","Alberto Angel","15-12-1969","Bush",190,"Present","Lanceolate","","","","White",45.31,72,1.3,20.79,57.1,62.1,954,345,3.88
"COL1048","SAMN47007411","SRR32689862","COL1048_1","This study","South America","COL 1048","10.18730/PDVF8","ANT-473, COL 1048","Palmire#A","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Yolombo","Emilio Munoz","18-12-1969",1540,6.55,-75,"","","","Alberto Angel","18-12-1969","Bush",195,"Present","Lanceolate","","","","Cream",25.71,71,4,21.28,19.5,63.8,708,195,3.52
"COL1135","SAMN47007429","SRR32689855","COL1135_1","This study","South America","COL 1135","10.18730/PCZJ3","BOY-303, COL 1135","Gualona Grande","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Boyaca","Maripi","Las Mercedes","12-01-1970",1000,5.5167,-74,"","","","Pablo Emilio Daza","12-01-1970","Bush",170,"Present","Elliptic-Lanceolate","","","","White",35.99,23,2.5,20.69,53.2,65.65,769,331,2.74
"COL1156","SAMN47007436","SRR32633518","COL1156","This study","South America","COL 1156","10.18730/P8Y45","BOY-324, COL 1156","Zata","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Boyaca","Moniquira","Molino Nuevo","16-01-1970",1600,5.8167,-73.5333,"","","","Pablo Emilio Daza","16-01-1970","Bush",160,"Present","Lanceolate","","","","White",23.73,157,7.4,21.13,20.5,64.5,698,206,2.9
"COL1205","SAMN47007440","SRR32633510","COL1205","This study","South America","COL 1205","10.18730/P7PG*","COL 1205, SAN-377","Poma Rosa","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Santander Del Sur","Oiba","Noe Nino","18-01-1970",1600,6.2333,-73.25,"","","","Victor Manuel Patino","18-01-1970","Bush",280,"Present","Lanceolate","","","","White",19.12,53,10.3,23.03,20.25,66,684,194,3.29
"COL123","SAMN47007444","SRR32633384","COL123","This study","South America","COL 123","10.18730/P86MY","COL 123, VAL-346","A$Era","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","Cartago","Piedra De Moler","10-06-1969",1000,4.7,-75.85,"","","","Pablo Emilio Daza","10-06-1969","Bush",170,"Absent","Lanceolate","","","","White",27.76,215,3.71,19.75,46.1,67.25,838,372,2.41
"COL1468","SAMN47007468","SRR32633388","COL1468","This study","South America","COL 1468","10.18730/PAKNG","BRA-000965, CMC 40","Mantiqueira, Sip24-2mantiqueira","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Brazil","","","","",NA,NA,NA,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","","03-04-1970","",180,"Present","Lanceolate","","","","White",39.07,162,1.82,18.72,43.85,65,1032,331,2.8
"COL1505","SAMN47007480","SRR32633378","COL1505","This study","South America","COL 1505","10.18730/P84M3","BRA-001007, CMC 76","Ucv 2096","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Venezuela","","","","01-08-1967",NA,NA,NA,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","","10-04-1970","",215,"Present","Lanceolate","","","","White",32.18,377,5.4,18.77,55.5,67.2,748,383,2.09
"COL1678","SAMN47007504","SRR32633523","COL1678","This study","South America","COL 1678","10.18730/PAK2$","CMC 157","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caqueta","Santuario","Hato Itarca","24-01-1969",NA,1.5,-75.45,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Luis Lopez","10-04-1970","",255,"Absent","Elliptic-Lanceolate","","","","White",40.58,159,2,20.64,57.1,62.95,878,320,3.49
"COL1711","SAMN47007510","SRR32689853","COL1711_1","This study","South America","COL 1711","10.18730/PDTJG","COL 1711, GUA-308","Blanquitaballenata","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Guajira","Fonseca","","16-05-1970",180,10.8167,-72.7833,"","","","Victor Manuel Patino","16-05-1970","Bush",230,"Absent","Lanceolate","","","","White",30.92,100,3.4,21.2,62,64.35,433,167,2.18
"COL172","SAMN47007511","SRR32633380","COL172","This study","South America","COL 172","10.18730/P8ZRM","COL 172, SAN-306","Cascajale#A","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Santander Del Sur","Rionegro","Palmira","17-06-1969",550,7.2333,-73.1167,"","","","Victor Manuel Patino","17-06-1969","Bush",245,"Present","Lanceolate","","","","White",26.48,77,5.2,25.25,18.75,66.35,750,241,2.64
"COL1743","SAMN47007513","SRR32689851","COL1743_1","This study","South America","COL 1743","10.18730/PBCXA","CES-339, COL 1743","Patona","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cesar","Valledupar","Veracruz","13-05-1970",200,10.4167,-73.2333,"","","","Victor Manuel Patino","13-05-1970","Bush",210,"Present","Lanceolate","","","","White",37.57,126,2.1,19.52,48.2,66.95,830,369,2.51
"COL1752","SAMN47007514","SRR32633371","COL1752","This study","South America","COL 1752","10.18730/P9QRB","CES-348, COL 1752","Pb-2","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Cesar","Valledupar","Esc. Vocacional","14-05-1970",1070,10.4167,-73.2333,"","","","Victor Manuel Patino","14-05-1970","Bush",200,"Present","Lanceolate","","","","White",40.83,56,1.9,17.85,39.75,65.8,622,172,2.97
"COL1764B","SAMN47007517","SRR32689849","COL1764B_1","This study","South America","COL 1764B","10.18730/PAB1U","CES-, COL 1764B","Barranquillera","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cesar","Codazzi","","15-05-1970",120,10.3333,-73.2333,"","","","Victor Manuel Patino","15-05-1970","Bush",200,"Absent","Lanceolate","","","","White",44.7,137,2.79,17.76,55.2,66.45,687,205,2.74
"COL1804","SAMN47007524","SRR32633393","COL1804","This study","South America","COL 1804","10.18730/P9792","COL 1804, MAG-314","Blanca Mona","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Magdalena","Pivijay","La Fortuna","05-09-1970",50,10.4,-74.5667,"","","","Pablo Emilio Daza","06-09-1970","Bush",NA,"","","","","","",45.07,103,3.5,21.79,54.6,66.85,743,294,3
"COL1886","SAMN47007528","SRR32689846","COL1886_1","This study","South America","COL 1886","10.18730/PAJNN","CMC 184","","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caqueta","Paujil","","",NA,1.7,-75.3,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","","14-03-1975","",260,"Present","Lanceolate","Red With Little Green","Dark Green","Seven Lobes","White",29.66,321,3.41,22.45,37.9,68.55,680,221,2.71
"COL1938","SAMN47007532","SRR32689844","COL1938_1","This study","South America","COL 1938","10.18730/PBCCY","CMC 235","La Negra","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cauca","Popayan","","29-10-1970",NA,2.45,-76.6,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Luis Alberto Varon","14-03-1975","",205,"Present","Lanceolate","","","","Cream",28.49,128,6.33,19.58,47.2,66.25,667,293,2.77
"COL2026","SAMN47007538","SRR32689860","COL2026_1","This study","South America","COL 2026","10.18730/P83PA","CAS-3, COL 2026","Algodona Mojonera","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Casanare","Yopal","Alto Viento","19-04-1979",NA,5.3167,-72.35,"","","","Octavio Vargas, Pedro Millan, Rafael Laberry","19-04-1979","",185,"Present","Lanceolate","","","","White",32.66,92,1.96,19.16,47.5,65.85,500,150,2.51
"COL213","SAMN47007548","SRR32633382","COL213","This study","South America","COL 213","10.18730/PD1HX","COL 213, VAL-393","Valluna","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Valle Del Cauca","Candelaria","Villachi","02-07-1969",1050,3.3833,-76.3167,"","","","Pablo Emilio Daza","02-07-1969","Bush",NA,"","","","","","",31.52,93,3.97,18.36,26,64.6,790,219,3.78
"COL2181","SAMN47007553","SRR32633372","COL2181","This study","South America","COL 2181","10.18730/PBBQ9","132, COL 2181","Yuca Dulce","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Amazonas","El Encanto","El Encanto Kms: 1","22-11-1979",NA,-1.6,-73.3167,"","","","Alvaro Amaya","22-11-1979","",240,"Absent","Elliptic-Lanceolate","","","","White",35.13,138,2.11,20.4,41.8,66.2,700,278,2.41
"COL219","SAMN47007554","SRR32633385","COL219","This study","South America","COL 219","10.18730/P86CP","CAU-312, COL 219","Pata De Pava","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cauca","Miranda","Villa Hermila","02-07-1969",1100,3.2333,-76.2,"","","","Pablo Emilio Daza","02-07-1969","Bush",220,"Present","Lanceolate","","","","White",36.36,102,1.98,20.5,55.7,64.5,666,202,2.09
"COL2215","SAMN47007560","SRR32689865","COL2215_2","This study","South America","COL 2215","10.18730/PCGM6","COL 2215","Venezolana 1","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Magdalena","Pivijay","Media Luna","01-05-1982",NA,10.4667,-74.6167,"","","","Clair H. Hershey","01-05-1982","",120,"Present","Lanceolate","","","","White",39.8,42,2.52,20.04,52.9,66.05,645,320,1.96
"COL2266","SAMN47007570","SRR32633292","COL2266","This study","South America","COL 2266","10.18730/PCX2$","001","Manakeke Curripaco","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Guainia","Puerto Inirida","El Sejal","18-02-1986",200,3.8,-67.8333,"Ciatcas-0053","UNIVERSIDAD NACIONAL DE COLOMBIA","Colombia","Mario Mejia Gutierrez","18-02-1986","",270,"Present","Oblong-Lanceolate","Red","Dark Green","Five Lobes","Yellow",36.33,785,3.5,22.3,60,63.35,211,154,1.24
